ts,sym,rule,side,trig,off,tp,sl,entry,exit,status,ret,fee,funding,hold_h,touched,recovered,pnl1x,pnl2x,queue_vol,f1,tbsi
2026-09-01 11:00:32,ARBUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.1122,0.1126,stop,-0.300,0.040,-0.00001,0.01,1,1,-0.3400,-0.6800,117022.1000,1,
2026-09-01 11:01:28,ARBUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.1125,0.1131,stop,-0.500,0.040,-0.00002,0.02,1,0,-0.5400,-1.0800,127025.0333,1,
2026-09-01 11:02:25,ARBUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.1130,0.1133,stop,-0.300,0.040,-0.00002,0.02,1,0,-0.3400,-0.6800,70280.5000,1,
2026-09-01 11:03:50,NEARUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,1.9609,1.9511,tp,0.500,0.000,-0.00007,0.06,1,0,0.5001,1.0001,2726.3333,1,
2026-09-01 11:07:41,CRVUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.3493,0.3483,stop,-0.300,0.040,0.00003,0.03,1,1,-0.3400,-0.6801,17247.3250,1,
2026-09-01 11:09:56,CRVUSDC,deep_l,long,0.2000,0.5000,0.6000,0.5000,0.3483,0.3503,tp,0.600,0.000,0.00005,0.04,1,1,0.6000,1.1999,70789.1000,1,
2026-09-01 11:09:57,ETHFIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.5708,0.5680,tp,0.500,0.000,-0.00005,0.08,1,1,0.5001,1.0001,6601.5889,1,
2026-09-01 11:10:43,ETHFIUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.5684,0.5667,stop,-0.300,0.040,0.00001,0.01,1,1,-0.3400,-0.6800,1333.9556,1,
2026-09-01 11:12:19,NEARUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,1.9511,1.9608,tp,0.500,0.000,0.00018,0.14,1,1,0.4998,0.9996,6556.5000,1,
2026-09-01 11:16:13,ARBUSDC,mom_s,short,0.3000,1.0000,0.8000,0.5000,0.1133,0.1138,stop,-0.500,0.040,-0.00005,0.04,1,1,-0.5400,-1.0799,154118.4636,0,
2026-09-01 11:16:53,ARBUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.1137,0.1141,stop,-0.300,0.040,-0.00003,0.02,1,1,-0.3400,-0.6799,176220.1304,1,
2026-09-01 11:16:54,ARBUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.1138,0.1144,stop,-0.500,0.040,-0.00003,0.02,1,1,-0.5400,-1.0799,170404.2320,1,
2026-09-01 11:18:11,ARBUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.1147,0.1150,stop,-0.300,0.040,-0.00000,0.00,1,0,-0.3400,-0.6800,85564.7000,1,
2026-09-01 11:19:32,TRUMPUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,2.4038,2.4110,stop,-0.300,0.040,-0.00008,0.13,1,1,-0.3399,-0.6798,6858.6119,1,
2026-09-01 11:20:17,ARBUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.1150,0.1143,tp,0.600,0.000,-0.00004,0.03,1,1,0.6000,1.2001,135580.6500,1,
2026-09-01 11:23:25,CRVUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3524,0.3535,stop,-0.300,0.040,-0.00002,0.01,1,1,-0.3400,-0.6800,86481.8457,1,
2026-09-01 11:23:26,CRVUSDC,mom_s,short,0.3000,1.0000,0.8000,0.5000,0.3520,0.3537,stop,-0.500,0.040,-0.00002,0.01,1,1,-0.5400,-1.0800,66300.5958,0,
2026-09-01 11:25:31,UNIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,5.2605,5.2342,tp,0.500,0.000,-0.00013,0.10,1,1,0.5001,1.0003,13044.1667,1,
2026-09-01 11:25:55,CRVUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.3535,0.3552,stop,-0.500,0.040,-0.00005,0.04,1,1,-0.5400,-1.0799,111872.3611,1,
2026-09-01 11:27:41,CRVUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3550,0.3532,tp,0.500,0.000,-0.00003,0.03,1,1,0.5000,1.0001,13241.4333,1,
2026-09-01 11:30:58,WLDUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.3649,0.3667,tp,0.500,0.000,0.00008,0.07,1,1,0.4999,0.9998,29620.7000,1,
2026-09-01 11:31:39,UNIUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,5.2445,5.2707,tp,0.500,0.000,0.00013,0.10,1,1,0.4999,0.9997,1213.3333,1,
2026-09-01 11:31:39,UNIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,5.2685,5.2843,stop,-0.300,0.040,-0.00002,0.02,1,1,-0.3400,-0.6800,4966.5000,1,
2026-09-01 11:32:34,LINKUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,11.3737,11.4078,stop,-0.300,0.040,-0.00007,0.06,1,1,-0.3399,-0.6799,5807.7160,1,
2026-09-01 11:32:52,WIFUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.1960,0.1966,stop,-0.300,0.040,-0.00020,0.33,1,1,-0.3398,-0.6796,20119.2500,1,
2026-09-01 11:32:54,ORDIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,3.9349,3.9467,stop,-0.300,0.040,-0.00001,0.01,1,1,-0.3400,-0.6800,1297.4650,1,
2026-09-01 11:32:54,ORDIUSDC,adapt_s,short,0.1890,0.1890,0.6299,0.3937,3.9344,3.9499,stop,-0.394,0.040,-0.00001,0.01,1,1,-0.4337,-0.8674,1297.4650,1,
2026-09-01 11:33:10,ETHFIUSDC,deep_l,long,0.2000,0.5000,0.6000,0.5000,0.5667,0.5701,tp,0.600,0.000,0.00023,0.37,1,1,0.5998,1.1995,7577.0100,1,
2026-09-01 11:33:38,LINKUSDC,adapt_s,short,0.1686,0.1686,0.5621,0.3513,11.3701,11.4101,stop,-0.351,0.040,-0.00011,0.09,1,1,-0.3912,-0.7824,5191.4935,1,
2026-09-01 11:33:55,TRUMPUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,2.4032,2.4152,tp,0.500,0.000,0.00009,0.15,1,1,0.4999,0.9998,2354.0025,1,
2026-09-01 11:34:37,UNIUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,5.2762,5.3026,stop,-0.500,0.040,-0.00006,0.05,1,1,-0.5399,-1.0799,25918.6190,1,
2026-09-01 11:34:47,WIFUSDC,adapt_s,short,0.2446,0.2446,0.8153,0.5095,0.1965,0.1975,stop,-0.510,0.040,-0.00002,0.03,1,1,-0.5495,-1.0990,61586.5111,1,
2026-09-01 11:34:47,WIFUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.1966,0.1976,stop,-0.500,0.040,-0.00002,0.03,1,1,-0.5400,-1.0800,72815.5588,1,
2026-09-01 11:34:50,WLDUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3668,0.3679,stop,-0.300,0.040,-0.00007,0.06,1,1,-0.3399,-0.6799,19315.7600,1,
2026-09-01 11:35:31,BNBUSDC,adapt_s,short,0.0763,0.0763,0.2543,0.1589,692.9982,694.0995,stop,-0.159,0.040,0.00000,0.51,1,1,-0.1989,-0.3978,37.9533,1,
2026-09-01 11:35:32,XRPUSDC,adapt_s,short,0.1477,0.1477,0.4923,0.3077,1.3802,1.3845,stop,-0.308,0.040,-0.00008,0.06,1,1,-0.3476,-0.6952,122467.1667,1,
2026-09-01 11:35:35,ADAUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.2006,0.2012,stop,-0.300,0.040,-0.00015,0.24,1,1,-0.3398,-0.6797,772006.3684,1,
2026-09-01 11:35:38,UNIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,5.2976,5.3135,stop,-0.300,0.040,-0.00004,0.03,1,1,-0.3400,-0.6799,4803.5000,1,
2026-09-01 11:35:38,UNIUSDC,adapt_s,short,0.4486,0.4486,1.4955,0.9347,5.2896,5.3391,stop,-0.935,0.040,-0.00006,0.05,1,1,-0.9746,-1.9492,31681.4706,1,
